movie_id,name en,name it,name de,first_release,actors
Q4003806,A Hero of Our Times,Un eroe dei nostri tempi,Ein Held unserer Tage,1955,Bud Spencer
Q4004077,"Un sorriso, uno schiaffo, un bacio in bocca","Un sorriso, uno schiaffo, un bacio in bocca","Un sorriso, uno schiaffo, un bacio in bocca",1976,Bud Spencer and Terence Hill
Q16695037,Extralarge: Black Magic,,Zwei Supertypen in Miami – Extralarge gegen Tod und Teufel,1992,Bud Spencer
Q27590220,Mamma's Boy,Il cocco di mamma,,1957,Bud Spencer
Q30807542,Extralarge: Moving Target,Detective Extralarge: Bersaglio mobile,Zwei Supertypen in Miami – Die Formel des Todes,1992,Bud Spencer
Q30809518,Extralarge: Indians,,Zwei Supertypen in Miami – Extralarge und die Indianer,1993,Bud Spencer
Q32999881,They called him Bulldozer,,Sie nannten ihn Spencer,2017,Bud Spencer and Terence Hill
Q1198395,Barbagia,Barbagia,Der blauäugige Bandit,1969,Terence Hill
Q1215151,Die Nibelungen,,Die Nibelungen,1966,Terence Hill
Q1233715,Doc West,Doc West,Doc West – Nobody ist zurück,2009,Terence Hill
Q1255585,Call of the Forest,Il magnifico emigrante,Ruf der Wälder,1965,Terence Hill
Q1351744,Un passo dal cielo,Un passo dal cielo,Die Bergpolizei – Ganz nah am Himmel,2011,Terence Hill
Q1420968,The Hassled Hooker,Il vero e il falso,Allein gegen das Gesetz,1972,Terence Hill
Q1423362,McCabe & Mrs. Miller,I compari,McCabe & Mrs. Miller,1971,Terence Hill
Q1497343,Shots in Threequarter Time,Operazione terzo uomo,Schüsse im 3/4 Takt,1965,Terence Hill
Q1788153,The Sword and the Cross,La spada e la croce,Kreuz und Schwert,1958,Terence Hill
Q2527933,Virtual Weapon,Potenza virtuale,Virtual Weapon,1997,Terence Hill
Q2940586,Carthage in Flames,Cartagine in fiamme,Karthago in Flammen,1959,Terence Hill
Q3108858,The Abandoned,Gli sbandati,Die Verirrten,1955,Terence Hill
Q3203227,The Story of Joseph and His Brethren,Giuseppe venduto dai fratelli,,1960,Terence Hill
Q3213477,Golden Vein,La vena d'oro,Wandel des Herzens,1955,Terence Hill
Q3223684,The Shortest Day,Il giorno più corto,,1963,Terence Hill
Q3224443,Il padrone delle ferriere,Il padrone delle ferriere,,1959,Terence Hill
Q3282673,Il viale della speranza,Il viale della speranza,,1953,Terence Hill
Q3283372,Seven Seas to Calais,Il dominatore dei 7 mari,Pirat der sieben Meere,1962,Terence Hill
Q3547086,Anna of Brooklyn,Anna di Brooklyn,Anna von Brooklyn,1958,Terence Hill
Q3664985,Cerasella,Cerasella,,1959,Terence Hill
Q3712040,Folgore Division,Divisione Folgore,El Alamein,1954,Terence Hill
Q3778078,,Guaglione,,1956,Terence Hill
Q3791384,,I vagabondi delle stelle,,1956,Terence Hill
